recording_start_location,location_latitude,location_longitude,recording_route,recording_description,recording_name,recording_special_sounds,recording_date,source
Ladhies Road,-1.2871685,36.83652099999995,"Bike Then walking Landhies Road end to end, Jua Kali Place – Kamkunji Grounds",Binaural microphone,Alacoque_ZOOM0034_EQ,"Tuk Tuk sounds moving and stationary, Tuk tuk hooting, a person whistling, a truck, People speaking different languages,(swahili, Kikuyu and hoped to hear some Dholuo), metal workers, hum of a truck in the distance, metallic banging, phone radio interference",2019-09-23 11:24,upload://Alacoque_ZOOM0034_EQ.wav
Ladhies Road,-1.2871685,36.83652099999995,I am on Ladhies Road and I use the bike at a speed of 5km/hr. I got stationary for 2min then I walk down at the Jua Kali Market,Binaural microphone,Alacoque_ZOOM0035_EQ,"Tuktuk, motorcycle, welding and metalwork banging, people speaking Kikuyu",2019-09-23 11:44,upload://Alacoque_ZOOM0035_EQ.wav
Oloolua Primate Center,-1.3653407,36.70380979999999,"walking around a stream in Oloolua Forest, swamp",Binaural microphone,ZOOM0027_EQ,"bird calls, cows mooing, camera clicking, water flowing",2019-09-18 16:58,upload://ZOOM0027_EQ.wav
"Dagoz Artist Bar, Karandini Road",-1.2994761,36.757742,"standing inside Dagoz Bar, at a table in the back right of the performance venue",Binaural microphone,ZOOM0030_EQ,"band playing, people talking, applause, shouting, screaming",2019-09-18 23:11,upload://ZOOM0030_EQ.wav
Kenya National Theater - Harry Thuku Road,-1.2785132,36.8156772,"At the Kenya National Theater, walking from the gate to the theatre space",Binaural microphone,Black_ZOOM0001_EQ,"Voices, security check, conga drums and poets, voices, laughter and cheering, motor sound. Short freestyle from Black. Languages: Sheng, Kiswahili.",2019-09-12 14:23,upload://Black_ZOOM0001_EQ.wav
Mirema Highview Estate,-1.2129941,36.886933,sitting outside on a ground-floor balcony,Binaural microphone,Zoom0014,"Bird sounds, Cock crowing, Matatu Horns, Shuttering of doors",2019-09-14 06:05,upload://Zoom0014.wav
Mirema bus stage 44,-1.2129573,36.8928845,"Standing at the bus stop, seated inside the number 44 bus in the middle left side, from Mirema to Roysambu via Kamiti Road",Binaural microphone,Zoom0016,"Building noise hammers hitting stones, touts shouting route/ calling out to passengers, banging on the bus door, Coughing, Car hooting, Wind in ears, Touts on the road instructing drivers out of the deadlock, Bus engine, Background Music, Conversations, Motorcycles passing by, Child mumbling, Car braking",2019-09-14 16:37,upload://Zoom0016.wav
"Roysambu bus station (route 44), A2",-1.2172643,36.8936972,"sitting in bus number 44, back left side, from Roysambu to Garden City Mall stage via Thika Road highway",Binaural microphone,Zoom0017,"Voices, Laughing, Crying, Children voice, Shaking coins in hand, Banging of bus roof/door, Shouting, Birds, Metallic Banging",2019-09-15 13:51,upload://Zoom0017.wav
"KNH bus stage 32, outside Kenyatta Hospital",-1.300687,36.808813,"Sitting in the bus number 32, back left side, KNH bus stage to Ngong Road, branch left to Kabarnet Road then right to Kibera Road, join Kibera drive and end at Kwa DC stage",Binaural microphone,Zoom0018,"Voices, Conversations, Car hooting, Revving of engines, Birds, Coughing, Phone ring, Slamming of Bus door, Wrapping paper, Bus door rattling, Child crying, Car braking, Phone conversation, Tout shouting",2019-09-15 14:38,upload://Zoom0018.wav
Kikuyu Town - Nderi Road,-1.2368373,36.6622682,Walking from Nderi Road to Powerstar Kikuyu,Binaural microphone,Brian_ZOOM0009_EQ,"Matatu breaking down, conversations in Kikuyu and Kiwahili, hum of trucks and PSVs on the Southern Bypass",2019-09-12 19:12,upload://Brian_ZOOM0009_EQ.wav
"National Archives, Moi Avenue",-1.2848973,36.8259204,Standing at the National Archives,Binaural microphone,ZOOM0001,A woman teaching a group of people about women issues,2019-09-17 12:37,upload://ZOOM0001.wav
Railways Bus Stop,-1.2898733,36.8276937,Walking then standing at the Railways bus stop,Binaural microphone,ZOOM0002,"touts calling the different routes, asking people to board the matatus, matatu sliding doors closing and opening, high head and bass sound of music from matatus, wistheling, motor sound, route chants of matatu routes, rongai, ngong-bypass, lenana – race course, hooting of matatus, heavy motor sound, hitting of car door/roof/side",2019-09-17 12:52,upload://ZOOM0002.wav
Railways Bus Stop,-1.2898733,36.8276937,Walking then standing at the Railways bus stop,Binaural microphone,ZOOM0003,"touts calling the different routes, asking people to board the matatus, matatu sliding doors closing and opening, high head and bass sound of music from matatus, wistheling, motor sound, route chants of matatu routes, rongai, ngong-bypass, lenana – race course, hooting of matatus, heavy motor sound, hitting of car door/roof/side",2019-09-17 12:53,upload://ZOOM0003.wav
Railways Bus Stop,-1.2898733,36.8276937,Walking then standing at the Railways bus stop,Binaural microphone,ZOOM0004,"touts calling the different routes, asking people to board the matatus, matatu sliding doors closing and opening, high head and bass sound of music from matatus, wistheling, motor sound, route chants of matatu routes, rongai, ngong-bypass, lenana – race course, hooting of matatus, heavy motor sound, hitting of car door/roof/side",2019-09-17 12:57,upload://ZOOM0004.wav
Kibera near Olympic stage,-1.3132416,36.7794678,Standing in front of a workshop,Binaural microphone,ZOOM0011,"grinding and sanding, People making jewelery from horns",2019-09-17 16:57,upload://ZOOM0011.wav
Kibera,-1.3114845,36.7879475,"Walking from Soweto to Bombululu, Kiandani",Binaural microphone,ZOOM0012,"Cars, women laughing, footsteps, whistling",2019-09-17 17:10,upload://ZOOM0012.wav
Holy Family Minor Basilica - Kaunda Street,-1.2871165,36.8208071,walking from the Holy Family Basilica to city council building to Harambee Avenue and back to Basilica - (Kaunda street - Parliament road - Cityhall Way),Binaural microphone,ZOOM0006_EQ,"car engines, birds, cars passing, footsteps on concrete, wind, hooting, voices, motorbike engine, car brakes squeaking",2019-09-19 06:05,upload://ZOOM0006_EQ.wav
Oloolua Forest - Cave,-1.3582668,36.7124999,Caves at the Oloolua Nature Trail,Binaural microphone,Kamaru_cave,"footsteps, falling twigs, echoes, birds, voices",2019-09-18 15:20,upload://Kamaru_cave.wav
Oloolua Forest - Waterfall,-1.3582668,36.7124999,Waterfall at the Oloolua Nature Trail,Binaural microphone,Kamaru_WalkWaterfall,"motorcycles, insects, birds, waterfall, footsteps, twigs breaking",2019-09-18 15:30,upload://Kamaru_WalkWaterfall.wav
Oloolua Forest - Pumps,-1.3582668,36.7124999,Pumps at the Oloolua Nature Trail,Binaural microphone,Kamaru_pumps,"waterfall sounds, pump, spray sound",2019-09-18 15:50,upload://Kamaru_pumps.wav
Oloolua Forest - River,-1.3582668,36.7124999,River at the Oloolua Nature Trail,Binaural microphone,Kamaru_WaterFlow,water flowing over rocks,2019-09-18 16:20,upload://Kamaru_WaterFlow.wav
Oloolua Forest - Swamp,-1.3582668,36.7124999,Swamp at the Oloolua Nature Trail,Binaural microphone,Kamaru_swamp,"footsteps, cracking twigs, birdsong, voices, motorcycles in the background",2019-09-18 17:30,upload://Kamaru_swamp.wav
Maasai Mbili Artists' Centre - Kibera Drive,-1.3115472,36.7745376,Walking along Kibera drive,Binaural microphone,ZOOM0019_EQ,"Drums, singing, voices, shakers, Salvation Army, Choir, engine sound, children singing, laughing, motor bike engine, wind",2019-09-15 15:38,upload://ZOOM0019_EQ.wav
"The Den, Kerarapon Drive, Nairobi, Kenya",-1.3147755,36.6602178,Sitting at the bar,Binaural microphone,ZOOM0020_EQ,"Benga music, voices, laughter, conversations in Dholuo & Sheng",2019-09-15 15:38,upload://ZOOM0020_EQ.wav
Kikuyu Market (Mini),-1.2471951,36.6790986,"Walking: Powerstar supermarket road opposite Kikuyu Township onto the mini market, sitting down and eating fruit",Binaural microphone,Waringa_0003,"voices, kikuyu language, motors revving, motorbike engine, wind howling, metal clinking",2019-09-17 14:53,upload://Waringa_0003.wav
Cyber Cafe Kikuyu,-1.248438,36.664438,"Walking: on a road with shops on boths sides, up the stairs in to a cyber cafe, standing in the cyber next to the printer then corridor and out again",Binaural microphone,Waringa_ZOOm0004,"voices, conversations, motors revving, typing on keyboards, paper rustling, bubble wrap, radio, coughing, sound of water in the drainage, footsteps, reverberation of footsteps in staircase",2019-09-18 15:06,upload://Waringa_ZOOm0004.wav
"Silanga Road, Karen",-1.3472172,36.7445694,Walking: Silanga road to Red Brick,Binaural microphone,Waringa_ZOOm0005,"birds, car motors, children laughing and talking, zip being closed, footsteps, voices, wind",2019-09-18 16:45,upload://Waringa_ZOOm0005.wav
Aga Khan Walk / Kencom,-1.2869819,36.8250462,"Walking: Start at Kencom/Aga Khan Walk junction. Straight down Aga Khan walk along the side walk closer to Reinsurance Plaza. Turning around at Harambee Avenue walking back past Electricity House, Uchumi until Nkrumah Ave Street sign next to Kencom Building",Binaural microphone,ZOOM0031_1,"bus engines revving, people shouting over the buses, footsteps, rustling leaves, voices in different languages (swahili, sheng, kikuyu, kamba, luo). Preacher shouting at Kencom, People talking on phones, humming sound (air conditioners?) from Kencom Building",2019-09-21 11:45,upload://ZOOM0031_1.wav
Aga Khan Walk / Kencom,-1.2869819,36.8250462,"Walking: Start at Kencom/Aga Khan Walk junction. Straight down Aga Khan walk along the side walk closer to Reinsurance Plaza. Turning around at Harambee Avenue walking back past Electricity House, Uchumi until Nkrumah Ave Street sign next to Kencom Building",Binaural microphone,ZOOM0031_2,"birds chirping, crossing light signal (beeping; please wait), motorcycle engine, wind, laughter, child mumbling or singing, ‘welcome to measure your height weight’ from weighing scales,",2019-09-21 11:45,upload://ZOOM0031_2.wav
High Court Car Park / Maasai Market,-1.2920659,36.82194619999999,"Walking: entering at main entrance, turn to the right, until circle is completed",Binaural microphone,ZOOM0032,"voices, haggling, conversations, voices in English addressing tourists, drum beats, laughter, car alarm, footsteps, clincking cutlery, different languages (Kikuyu, English, Swahili, Kamba, Sheng), being called sister, radio broadcast music and conversation, coughing, rustling bags/packaging, plastic chairs dragging on the ground, rustling canvas paintings",2019-09-18 12:18,upload://ZOOM0032.wav
Workshop Road at Footbridge,-1.2939695,36.82705149999999,Walking: Workshop Road (near Station Road) starting at Footbridge (crossing over the rail tracks) until the gate out of Railway Slippers next to fruit vendors. Past Factory Road but before reaching the Industrial Area Roundabout (Bunyala Rd),Binaural microphone,ZOOM0033,"Footsteps on concrete, footsteps wooden planks ( on the bridge), bird songs, child talking, zipper, voices, commotion below the bridge ( at railway where a suspected criminal was being pursued by policeman)wind, promotion music, pre recorded seller sound (selling shoes), DJ recorded music, footsteps, live guitar sound and radio, footsteps, motor cycle sound, recorded sales sound (selling electronics, computer accessories, casio calculators, cell phones, finger print scanner), different languages ( Swahili, English, Sheng, Kamba, Kikuyu)",2019-09-18 12:47,upload://ZOOM0033.wav
Kyuna Road,-1.2506205,36.7758432,"Walking around compound in Kyuna, around two houses and into a garden",Binaural microphone,Lorna_ZOOM0036_EQ,"Birds, wind, dogs, cats, cars, footsteps, gate opening",2019-10-02 18:30,upload://Lorna_ZOOM0036_EQ.wav
Naivas Supermarket Donholm,-1.2959188,36.88715860000001,"voice of woman in conversation on mobile phone, Sound of TV broadcasting the Lion's den program, Phone ringing, cleaning machine, beeping of till, closing of till, tape, motor/car sound, supermarket trolly",Binaural microphone,ZOOM0007_EQ,"Birds, wind, dogs, cats, cars, footsteps, gate opening",2019-09-12 18:14,upload://ZOOM0007_EQ.wav
"Mpya Pipeline Stage, Outer Ring Road",-1.3134119,36.8914469,"standing at Stage Mpya, Pipeline",Binaural microphone,ZOOM0008_EQ,"Christian Crusade, Speaker using a megaphone, aeroplane passing, feedback in megaphone, receding to Women shouting and singing, music, voices of conversations, singing",2019-09-12 18:43,upload://ZOOM0008_EQ.wav
"Murram Road, AA Grounds, Catherine Ndereba",-1.3227864,36.88745649999999,"walking along Murram Road, over AA Grounds, off Catherine Ndereba Road",Binaural microphone,ZOOM0009_EQ,"footsteps on dirt road, tuk tuk horn, tuk tuk motor sound, music reggae close by, wooden planks onto each other, Karibu costumer, motor/car sounds, sneezing, laughing, squeeking of cars, coughing, plates rattling, sweeping, high heel footsteps",2019-09-13 05:55,upload://ZOOM0009_EQ.wav
"Eastleigh 2nd Avenue, shop, carpet shop",-1.2722748,36.8504403,"walking along street, then into carpet shop and out again",Binaural microphone,ZOOM0013_EQ,"motor, cars revving engine, music beats, beeping, banging of metal/car door, motor bike engines, voices, voice from speaker/promotion voice, shouting of prices, hooting motorbike, plates klinckling, vendors calls (maji baridi), bell, street noise, inside shop, muffled  street noise, electric sowing machine in shop, voices, languages (somali)",2019-09-13 17:11,upload://ZOOM0013_EQ.wav
"Nairobi River, Kirinyaga Road",-1.2803832,36.8268719,Walking along the River,Binaural microphone,Kamwangi_ZOOM0010_EQ,"voices, laughter car hooting",2019-09-20 11:50,upload://Kamwangi_ZOOM0010_EQ.wav
